no,업체명,제품명,주성분,첨가제,허가일,제조/수입,모양,장축,단축,수입제조국,주성분영문
4125,일동제약(주),엘칸정330밀리그램(엘-카르니틴),엘-카르니틴,"저치환도히드록시프로필셀룰로오스,오파드라이흰색(OY-S-7223),미결정셀룰로오스,유당수화물,콜로이드성이산화규소,스테아르산마그네슘,오파드라이 AMB 흰색(OY-B-28920),전분글리콜산나트륨,히드록시프로필셀룰로오스",1990-03-10,제조,원형,11.68,11.68,,L-Carnitine
4126,주식회사엘캡슐,엘캡슐광생젤라틴공캡슐3호,,"라우릴황산나트륨,적색3호,황색5호,황색4호,젤라틴,아세트산,청색2호,적색40호,황색203호,이산화티탄,녹색3호,정제수,청색1호",2023-10-27,수입,,,,중국,
4127,주식회사엘캡슐,엘캡슐광생젤라틴공캡슐00호,,"라우릴황산나트륨,적색3호,황색5호,황색4호,젤라틴,아세트산,청색2호,적색40호,황색203호,이산화티탄,녹색3호,정제수,청색1호",2023-10-27,수입,,,,중국,
4128,주식회사엘캡슐,엘캡슐광생젤라틴공캡슐1호,,"라우릴황산나트륨,적색3호,황색5호,황색4호,젤라틴,아세트산,청색2호,적색40호,황색203호,이산화티탄,녹색3호,정제수,청색1호",2023-10-27,수입,,,,중국,
4129,주식회사엘캡슐,엘캡슐광생젤라틴공캡슐0호,,"라우릴황산나트륨,적색3호,황색5호,황색4호,젤라틴,아세트산,청색2호,적색40호,황색203호,이산화티탄,녹색3호,정제수,청색1호",2023-10-27,수입,,,,중국,
4130,주식회사엘캡슐,엘캡슐광생젤라틴공캡슐4호,,"라우릴황산나트륨,적색3호,황색5호,황색4호,젤라틴,아세트산,청색2호,적색40호,황색203호,이산화티탄,녹색3호,정제수,청색1호",2023-10-27,수입,,,,중국,
4131,주식회사엘캡슐,엘캡슐광생젤라틴공캡슐5호,,"라우릴황산나트륨,적색3호,황색5호,황색4호,젤라틴,아세트산,청색2호,적색40호,황색203호,이산화티탄,녹색3호,정제수,청색1호",2023-10-27,수입,,,,중국,
4132,주식회사엘캡슐,엘캡슐광생젤라틴공캡슐2호,,"라우릴황산나트륨,적색3호,황색5호,황색4호,젤라틴,아세트산,청색2호,적색40호,황색203호,이산화티탄,녹색3호,정제수,청색1호",2023-10-27,수입,,,,중국,
4133,주식회사엘캡슐,엘캡슐광생코팅공캡슐0호,,"라우릴황산나트륨,트리에틸시트르산염,식약처인정타르색소,젤라틴,폴리에틸렌글리콜,아세트산,히프로멜로오스프탈레이트,이산화티탄,정제수",2023-07-31,수입,,,,중국,
4134,주식회사엘캡슐,엘캡슐광생코팅공캡슐1호,,"라우릴황산나트륨,트리에틸시트르산염,식약처인정타르색소,젤라틴,폴리에틸렌글리콜,아세트산,히프로멜로오스프탈레이트,이산화티탄,정제수",2023-07-31,수입,,,,중국,
4135,주식회사엘캡슐,엘캡슐광생코팅공캡슐2호,,"라우릴황산나트륨,트리에틸시트르산염,식약처인정타르색소,젤라틴,폴리에틸렌글리콜,아세트산,히프로멜로오스프탈레이트,이산화티탄,정제수",2023-07-31,수입,,,,중국,
4136,주식회사엘캡슐,엘캡슐론자히프로멜로오스공캡슐1호,히프로멜로오스,"산화티탄,정제수",2022-12-26,수입,,,,일본,Hypromellose
4137,주식회사엘캡슐,엘캡슐론자히프로멜로오스공캡슐2호,히프로멜로오스,"산화티탄,정제수",2022-12-26,수입,,,,일본,Hypromellose
4138,주식회사엘캡슐,엘캡슐론자히프로멜로오스공캡슐0호,히프로멜로오스,"산화티탄,정제수",2022-12-26,수입,,,,일본,Hypromellose
4139,주식회사엘캡슐,엘캡슐보바인젤라틴공캡슐5호,,"젤라틴,산화티탄,아세틱애씨드,소듐라우릴설페이트,정제수",2019-05-21,수입,,,,중국,
4140,주식회사엘캡슐,엘캡슐보바인젤라틴공캡슐0호,,"젤라틴,아세틱애씨드,소듐라우릴설페이트,정제수",2019-05-21,수입,,,,중국,
4141,주식회사엘캡슐,엘캡슐보바인젤라틴공캡슐2호,,"젤라틴,산화티탄,아세틱애씨드,소듐라우릴설페이트,증류수",2019-05-21,수입,,,,중국,
4142,주식회사엘캡슐,엘캡슐보바인젤라틴공캡슐3호,,"젤라틴,산화티탄,아세틱애씨드,소듐라우릴설페이트,증류수",2019-05-21,수입,,,,중국,
4143,주식회사엘캡슐,엘캡슐보바인젤라틴공캡슐1호,,"젤라틴,아세틱애씨드,산화티탄,소듐라우릴설페이트,증류수",2019-05-21,수입,,,,중국,
4144,주식회사엘캡슐,엘캡슐보바인젤라틴공캡슐4호,,"젤라틴,산화티탄,아세틱애씨드,소듐라우릴설페이트,증류수",2019-05-21,수입,,,,중국,
4145,주식회사엘캡슐,엘캡슐포신젤라틴공캡슐0호,젤라틴,"산화티탄,아세틱애씨드,소듐라우릴설페이트,증류수",2019-05-21,수입,,,,중국,Gelatin
4146,주식회사엘캡슐,엘캡슐포신젤라틴공캡슐2호,젤라틴,"산화티탄,아세틱애씨드,소듐라우릴설페이트,증류수",2019-05-21,수입,,,,중국,Gelatin
4147,주식회사엘캡슐,엘캡슐히프로멜로오스공캡슐0호,히프로멜로오스,"에틸렌디아민테트라아세트산,산화티탄,초산칼륨,소르비탄모노라우레이트,젤란검,정제수",2019-05-21,수입,,,,중국,Hypromellose
4148,주식회사엘캡슐,엘캡슐히프로멜로오스공캡슐1호,히프로멜로오스,"에틸렌디아민테트라아세트산,산화티탄,초산칼륨,소르비탄모노라우레이트,젤란검,정제수",2019-05-21,수입,,,,중국,Hypromellose
4149,주식회사엘캡슐,엘캡슐히프로멜로오스공캡슐2호,히프로멜로오스,"에틸렌디아민테트라아세트산,산화티탄,초산칼륨,소르비탄모노라우레이트,젤란검,정제수",2019-05-21,수입,,,,중국,Hypromellose
4150,(주)메디카코리아,엘코스텐캡슐(에르도스테인),에르도스테인,"페퍼민트미크론(B-5010),미결정셀룰로오스,포비돈,스테아르산마그네슘,전분글리콜산나트륨,캡슐",2015-12-07,제조,장방형,18.91,6.33,,Erdosteine
4151,주식회사케이에스제약,엘코프캡슐(에르도스테인),에르도스테인,"스테아르산마그네슘,전분글리콜산나트륨,캡슐",2019-08-23,제조,장방형,19.0,6.4,,Erdosteine
4152,에이치엘비제약(주),엘퀸정(엘카르니틴),엘카르니틴,"미결정셀룰로오스,오파드라이 AMB 화이트(80W68912),포비돈,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,아크릴이즈 MP 화이트(93O18508),오파드라이흰색(OY-C-7000A)",2008-08-22,제조,원형,12.3,12.3,,L-Carnitine
4153,(주)서울제약,엘큐정(엘카르니틴),엘카르니틴,"아크릴이즈MP흰색(93O18508),미결정셀룰로오스,오파드라이 AMB 화이트(80W68912),포비돈,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,오파드라이흰색(OY-C-7000A)",2007-12-10,제조,원형,12.4,12.4,,L-Carnitine
4154,동광제약(주),엘타인캡슐(에르도스테인),에르도스테인,"크로스포비돈,미결정셀룰로오스,탤크,캡슐",2018-04-20,제조,장방형,19.1,6.6,,Erdosteine
4155,(주)마더스제약,엘탑정(엘카르니틴),엘카르니틴,"미결정셀룰로오스,히프로멜로오스,폴리에틸렌글리콜6000,산화티탄,포비돈,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,경질무수규산,오파드라이AMBⅡ 화이트(88A180040)",2009-03-13,제조,원형,12.5,12.5,,L-Carnitine
4156,하나제약(주),엘테인캡슐(에르도스테인),에르도스테인,"미결정셀룰로오스,포비돈,스테아르산마그네슘,캡슐(상부초록색,하부노란색)",2004-06-30,제조,장방형,19.1,6.63,,Erdosteine
4157,대우제약(주),엘티딘정75밀리그램(라니티딘염산염),라니티딘염산염,"히프로멜로오스,유당수화물,산화티탄,폴리에틸렌글리콜6000,스테아르산마그네슘,옥수수전분,황색5호알루미늄레이크,히드록시프로필셀룰로오스",2003-10-29,제조,오각형,8.0,5.0,,Ranitidine Hydrochloride
4158,(주)일화,엘패스정(엘카르니틴),L-카르니틴,"아크릴이즈MP흰색(93O18508),미결정셀룰로오스,오파드라이흰색(03B28796),오파드라이AMB흰색(80W68912),포비돈,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘",2022-11-04,제조,원형,11.8,11.8,,L-Carnitine
4159,(주)팜젠사이언스,엘펙탄캡슐(에르도스테인),에르도스테인,"에틸바닐린,상부 암록색, 하부 미황색의 경질캡슐,이산화규소,스테아르산마그네슘,전분글리콜산나트륨",2004-07-15,제조,장방형,18.92,6.95,,Erdosteine
4160,국제약품(주),엘펙트캡슐(에르도스테인),에르도스테인,"포비돈 K30,상부 : 초록색 캡슐 하부 : 미황색캡슐,스테아르산마그네슘",2003-09-19,제조,장방형,17.6,6.07,,Erdosteine
4161,미래바이오제약(주),엘피스캡슐(에르도스테인),에르도스테인,"미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,캡슐",2020-10-07,제조,,,,,Erdosteine
4162,메딕스제약(주),엠디멀티비타정,벤포티아민/리보플라빈/니코틴산아미드/피리독신염산염/셀레늄함유건조효모/산화아연/산화마그네슘/아스코르브산/토코페롤아세테이트 2배산/푸마르산철/황산망간수화물/메코발라민/판토텐산칼슘/콜레칼시페롤농축분말,"미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,탭쉴드갈색(29B1093),경질무수규산,히드록시프로필셀룰로오스",2023-04-11,제조,장방형,18.5,8.9,,Benfotiamine/Riboflavin/Nicotinamide/Pyridoxine Hydrochloride/Selenium In Dried Yeast/Zinc Oxide/Magnesium Oxide/Ascorbic Acid/Tocopherol Acetate Powder 50%/Ferrous Fumarate/Manganese Sulfate Hydrate/Mecobalamin/Calcium Pantothenate/Cholecalciferol Concentrate Powder
4163,맥널티제약(주),엠디카인크림(리도카인),리도카인,"프로필렌글리콜,글리세린모노스테아레이트,카보머940,스테아릴알코올,파라옥시벤조산메틸,미리스트산이소프로필,폴리옥실40경화피마자유,에탄올,정제수",2015-01-19,제조,,,,,Lidocaine
4164,맥널티제약(주),엠로딘액(L-카르니틴),L-카르니틴,"시트르산수화물,딸기향(3104145),수크랄로스,파라옥시벤조산메틸,조합향료(체리후레바(6009)),정제수",2022-09-06,제조,,,,,L-Carnitine
4165,알리코제약(주),엠마오플러스크림(리도카인),리도카인,"프로필렌글리콜,글리세린모노스테아레이트,카보머940,파라옥시벤조산프로필,폴리소르베이트60,스테아릴알코올,파라옥시벤조산메틸,미리스트산이소프로필,정제수",2009-07-14,제조,,,,,Lidocaine
4166,경진제약(주),엠뮨액,녹용/홍삼70%에탄올연조엑스(5→1)/티아민질산염/리보플라빈포스페이트나트륨/피리독신염산염/락트산칼슘수화물/글리세로인산마그네슘/산화아연,"벤조산나트륨,시트르산수화물,아스파탐,조합향료(시트러스향 60325),조합향료(그레이프 엣센스 에프-723),시트르산나트륨수화물,정제수",2023-03-22,제조,,,,,Cervi Parvum Cornu/Red Ginseng 70% Ethanol Soft Extract/Thiamine Nitrate/Riboflavin Sodium Phosphate/Pyridoxine Hydrochloride/Calcium Lactate Hydrate/Magnesium Glycerophosphate/Zinc Oxide
4167,삼익제약(주),엠부틴정200mg(트리메부틴말레산염)(수출용),트리메부틴말레산염,"미결정셀룰로오스,유당수화물,폴리에틸렌글리콜6000,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분,히드록시프로필셀룰로오스",2008-03-10,제조,,,,,Trimebutine Maleate
4168,(주)인트로바이오파마,엠비오캡슐(엔테로코쿠스페슘스트레인세르넬레68균),엔테로코쿠스페슘스트레인세르넬레68균ME,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,캡슐제,전분글리콜산나트륨",2020-10-15,제조,,,,,Enterococcus Faecium (Strain: Cernelle 68)
4169,신신제약(주),엠엔에이치메디케이트 카타플라스마(수출용)(수출명: Menthol & Histamine medicated Patch),히스타민2염산염/L-멘톨,"타르타르산,플라스틱필름,토코페롤아세테이트,폴리소르베이트80,피마자유,폴리에틸렌글리콜모노스테아레이트,부틸히드록시톨루엔,메타규산알루민산마그네슘,산화티탄,젤라틴,폴리아크릴산나트륨,에데트산나트륨,포비돈,폴리비닐알코올,파라옥시안식향산메칠,알로에베라겔,카올린,건조수산화알루미늄겔,미리스트산이소프로필,농글리세린,정제수,부직포",2008-01-23,제조,,,,,Histamine Dihydrochloride/L-Menthol
4170,부광약품(주),엠지멕스스피드액,글리세로인산마그네슘/피리독신염산염/니코틴산아미드/리보플라빈포스페이트나트륨,"시트르산수화물,벤조산나트륨,카라멜색소(비에이),믹스베리향(510153),수크랄로스,효소처리스테비아,아세설팜칼륨,정제수",2022-12-08,제조,,,,,Magnesium Glycerophosphate/Pyridoxine Hydrochloride/Nicotinamide/Riboflavin Sodium Phosphate
4171,부광약품(주),엠지멕스연질캡슐,산화마그네슘/토코페롤아세테이트/γ-오리자놀/피리독신염산염/티아민질산염,"콩기름,레시틴,황색5호,에틸바닐린,젤라틴,산화티탄,적색40호,백납,팜유,D-소르비톨액(비결정성),농글리세린,청색1호,정제수",2015-06-15,제조,타원형,25.5,9.2,,Magnesium Oxide/Tocopherol Acetate/Gamma-Oryzanol/Pyridoxine Hydrochloride/Thiamine Nitrate
4172,부광약품(주),엠지멕스플러스비연질캡슐,산화마그네슘/벤포티아민/피리독신염산염/시아노코발라민/토코페롤아세테이트/감마-오리자놀,"적색3호,콩기름,레시틴,폴리소르베이트80,D-소르비톨 액,에틸바닐린,젤라틴,산화티탄,적색40호,팜유,백납,농글리세린,청색1호,정제수",2022-12-09,제조,타원형,24.7,8.5,,Magnesium Oxide/Benfotiamine/Pyridoxine Hydrochloride/Cyanocobalamin/Tocopherol Acetate/Gamma-Oryzanol
4173,부광약품(주),엠지멕스플러스연질캡슐,산화마그네슘/토코페롤아세테이트/벤포티아민/리보플라빈/피리독신염산염/시아노코발라민/감마오리자놀/유비데카레논,"콩기름,레시틴,폴리소르베이트80,황색5호,에틸바닐린,젤라틴,숙신산젤라틴,산화티탄,적색40호,백납,농글리세린,청색1호",2020-03-02,제조,타원형,25.3,9.4,,Magnesium Oxide/Tocopherol Acetate/Benfotiamine/Riboflavin/Pyridoxine Hydrochloride/Cyanocobalamin/Gamma-Oryzanol/Ubidecarenone
4174,대한뉴팜(주),엠지비정(수출용),젖산마그네슘/염산피리독신,"저치환도히드록시프로필셀룰로오스,프탈산디에칠,산화티탄,유당,탈크,폴리에칠렌글리콜6000,경질무수규산,카르복시메칠셀룰로오스칼슘,프탈산히드록시프로필메칠셀룰로오스200731,스테아린산마그네슘,히드록시프로필셀룰로오스",2004-12-17,제조,,,,,Magnesium Lactate/Pyridoxine Hydrochloride
4175,삼진제약(주),엠지에버액,글리세로인산마그네슘/피리독신염산염/니코틴산아미드/리보플라빈포스페이트나트륨/산화아연,"벤조산나트륨,시트르산수화물,레몬엣센스,스트로베리후레바(엣센스)에스,수크랄로스,오렌지엣센스#76-GS,정제수",2021-06-29,제조,,,,,Magnesium Glycerophosphate/Pyridoxine Hydrochloride/Nicotinamide/Riboflavin Sodium Phosphate/Zinc Oxide
4176,(주)알피바이오,엠지파워연질캡슐,산화마그네슘/토코페롤아세테이트,"콩기름,레시틴,폴리소르베이트80,황색5호,숙신산젤라틴,산화티탄,황납,적색40호,농글리세린,청색1호",2021-07-19,제조,타원형,24.5,9.5,,Magnesium Oxide/Tocopherol Acetate
4177,(주)알피바이오,엠지플러스큐연질캡슐,산화마그네슘/토코페롤아세테이트/벤포티아민/리보플라빈/유비데카레논/피리독신염산염/시아노코발라민/감마-오리자놀,"콩기름,레시틴,폴리소르베이트80,숙신산젤라틴,산화티탄,카카오색소,황납,농글리세린",2019-12-18,제조,타원형,24.4,9.5,,Magnesium Oxide/Tocopherol Acetate/Benfotiamine/Riboflavin/Ubidecarenone/Pyridoxine Hydrochloride/Cyanocobalamin/Gamma-Oryzanol
4178,동화약품(주),엠코발500마이크로그램캡슐(메코발라민),메코발라민,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,D-만니톨,캡슐",1985-08-30,제조,장방형,15.7,5.57,,Mecobalamin
4179,동화약품(주),엠코발캡슐(메코발라민),메코발라민,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,D-만니톨,캡슐",1983-10-20,제조,장방형,16.7,6.0,,Mecobalamin
4180,명문제약(주),엠티정,도큐세이트나트륨/비사코딜,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,아크릴이즈오렌지(93O43105),히드록시프로필셀룰로오스,오파드라이화이트(03B28796)",2007-08-27,제조,원형,7.3,7.3,,Docusate Sodium/Bisacodyl
4181,맥널티제약(주),엠프록센연질캡슐(나프록센),나프록센,"폴리소르베이트80,황색5호,수산화칼륨,부틸히드록시톨루엔,젤라틴,폴리에틸렌글리콜600,포비돈,소르비톨소르비탄 액,정제수,청색1호",2022-05-24,제조,,,,,Naproxen
4182,맥널티제약(주),엠피록스액(시클로피록스올아민),시클로피록스올아민,"프로필렌글리콜,시트르산수화물,폴리소르베이트80,올레일알코올,인산수소나트륨수화물,코카미드디이에이,폴리옥시에틸렌라우릴에테르황산나트륨,디메티콘코폴리올,코카미도프로필베타인,부틸렌글리콜,폴리쿼터늄-10,조합향료(사과향HF-30630),정제수",2008-01-24,제조,,,,,Ciclopirox Olamine
4183,(주)바이넥스,엠피신연고(무피로신),무피로신,"폴리에틸렌글리콜4000,폴리에틸렌글리콜400,에데트산나트륨수화물,정제수",2017-11-10,제조,,,,,Mupirocin
4184,코오롱제약(주),여우엔연질캡슐(나프록센),나프록센,"프로필렌글리콜,탄산칼륨,부분탈수액상소르비톨,중쇄트리글리세리드,부틸레이티드히드록시톨루엔,황색5호,수산화칼륨,젤라틴,폴리에틸렌글리콜600,카르나우바납,정제수,폴리옥실40경화피마자유,청색1호",2014-07-25,제조,타원형,20.5,8.7,,Naproxen
4185,영진약품(주),영비원정,푸르설티아민/폴산/산화마그네슘,"크로스카르멜로오스나트륨,미결정셀룰로오스,코포비돈,폴리에틸렌글리콜6000,콜로이드성이산화규소,스테아르산마그네슘,탤크,오파드라이QX321A 180025 화이트,오파드라이 QX321A 620000 옐로우",2017-05-18,제조,장방형,12.5,7.5,,Fursultiamine/Folic Acid/Magnesium Oxide
4186,영일제약(주),영일아스피린장용정100mg(아스피린),아스피린,"스테아르산,미결정셀룰로오스,탭쉴드흰색(39W261),탭쉴드흰색(93W280),전호화전분,경질무수규산,히드록시프로필셀룰로오스",2013-11-14,제조,원형,7.1,7.1,,Aspirin
4187,영일제약(주),영일알마게이트정500밀리그램,알마게이트,"포비돈,스테아르산마그네슘,전분글리콜산나트륨",2019-12-20,제조,원형,12.1,12.1,,Almagate
4188,영일제약(주),영일알마게이트현탁액(수출용),알마게이트,"D-소르비톨 액,스테비온 100-에스,백당,미결정셀룰로오스 및 카르복시메틸셀룰로오스나트륨,오렌지에센스(#76-GS),카르복시메틸셀룰로오스나트륨,클로르헥시딘아세트산염,레몬에센스,농글리세린,정제수",2014-07-17,제조,,,,,Almagate
4189,영일제약(주),영일염산암브록솔정,암브록솔염산염,"미결정셀룰로오스,유당수화물,아스파탐,스테아르산마그네슘",1989-06-14,제조,원형,7.4,7.4,,Ambroxol Hydrochloride
4190,영진약품(주),영진멘탁스크림(부테나핀염산염),부테나핀염산염,"벤조산나트륨,스테아르산,프로필렌글리콜지방산에스테르,글리세린,세탄올,백색바셀린,폴리옥시에틸렌세틸에테르,글리세릴스테아레이트SE,디에탄올아민,정제수",1994-01-17,제조,,,,,Butenafine Hydrochloride
4191,영진약품(주),영진브로멜라인장용정100밀리그램,브로멜라인,"미결정셀룰로오스102,탭쉴드흰색(11W401),크로스포비돈,스테아르산마그네슘,콜로이드성이산화규소,탭쉴드분홍색(39P407)",2019-10-02,제조,원형,9.3,9.3,,Bromelain
4192,영진약품(주),영진아미노펜연질캡슐325mg,아세트아미노펜,"프로필렌글리콜,폴리에틸렌글리콜400,젤라틴,소르비톨소르비탄 액,포비돈,안나토색소,정제수",2019-05-28,제조,타원형,21.6,10.0,,Acetaminophen
4193,영진약품(주),영진아스피린장용정,아스피린,"전호화전분,탤크,분말셀룰로오스,옥수수전분,아크릴이즈 흰색(93O18509)",2002-08-01,제조,원형,7.3,7.3,,Aspirin
4194,영진약품(주),영진젤라틴공캡슐2호,,"라우릴황산나트륨,산화티탄,젤라틴,청색1호,정제수",2012-01-13,수입,,,,일본,
4195,영풍제약(주),영풍아시클로버크림,아시클로버,"프로필렌글리콜,시트르산수화물,파라옥시벤조산프로필,에데트산나트륨수화물,세탄올,폴리소르베이트60,스테아릴알코올,유동파라핀,파라옥시벤조산메틸,소르비탄모노스테아레이트,정제수",1997-03-14,제조,,,,,Acyclovir
4196,영풍제약(주),영풍알마게이트정500밀리그램,알마게이트,"미결정셀룰로오스,스테아르산마그네슘,백당,전분글리콜산나트륨,D-만니톨",1991-10-08,제조,장방형,15.0,5.0,,Almagate
4197,(주)베키오바이오젠,예나젠질용액0.1%(벤지다민염산염),벤지다민염산염,"염화벤잘코늄액,직접주입용의약품주입용기구,장미유,에데트산나트륨,에탄올96%,폴리소르베이트20,정제수",2017-06-30,수입,,,,이탈리아,Benzydamine Hydrochloride
4198,(주)테라젠이텍스,예스비타연질캡슐,셀레늄함유건조효모/β-카로틴현탁액30%/아스코르브산/토코페롤아세테이트/농축콜레칼시페롤(유상)/푸르설티아민/리보플라빈부티레이트/판토텐산칼슘/피리독신염산염/니코틴아마이드/시아노코발라민/폴산/d-비오틴/무수인산수소칼슘/무수황산제이구리/푸마르산철/황산망간수화물/산화아연,"비결정성 소르비톨액,레시틴,콩기름,황색5호,에틸바닐린,젤라틴,산화티탄,야자경화유,황납,적색40호,농글리세린,청색1호",2008-03-05,제조,장방형,24.7,8.99,,Selenium In Dried Yeast/Beta-Carotene Suspension 30%/Ascorbic Acid/Tocopherol Acetate/Cholecalciferol Concentrate Oil/Fursultiamine/Riboflavin Butyrate/Calcium Pantothenate/Pyridoxine Hydrochloride/Nicotinamide/Cyanocobalamin/Folic Acid/D-Biotin/Anhydrous Dibasic Calcium Phosphate/Anhydrous Cupric Sulfate/Ferrous Fumarate/Manganese Sulfate Hydrate/Zinc Oxide
4199,경방신약(주),오네론액,디멘히드리네이트/스코폴라민브롬화수소산염수화물/카페인무수물/니코틴산아미드/피리독신염산염,"시트르산수화물,벤조산나트륨,이성화당55%,덱스트린,애플민트향(514165),황색5호,시트러스향(91069),에데트산나트륨수화물,효소처리스테비아,시트르산나트륨수화물,L-멘톨,오렌지엣센스(B-4515),아세설팜칼륨,정제수",2020-11-20,제조,,,,,Dimenhydrinate/Scopolamine Hydrobromide Hydrate/Anhydrous Caffeine/Nicotinamide/Pyridoxine Hydrochloride
4200,동아제약(주),오늘비타고정,아스코르브산97%과립/콜레칼시페롤농축물(분말형)/벤포티아민/리보플라빈/니코틴산아미드/피리독신염산염/폴산/시아노코발라민1000배산/판토텐산칼슘/이노시톨/산화마그네슘/산화아연,"크로스포비돈,오파드라이 클리어(02M49010),오파드라이200주황색(200F630035),유당수화물,스테아르산마그네슘,히드록시프로필셀룰로오스,경화유,오파드라이 fx 은색 (62W28547)",2019-03-25,제조,타원형,18.5,9.4,,Ascorbic Acid Granules 97%/Cholecalciferol Concentrate Powder/Benfotiamine/Riboflavin/Nicotinamide/Pyridoxine Hydrochloride/Folic Acid/Cyanocobalamin Powder 0.1%/Calcium Pantothenate/Inositol/Magnesium Oxide/Zinc Oxide
4201,동아제약(주),오늘비타더블골드정,푸르설티아민/리보플라빈부티레이트/피리독살포스페이트수화물/히드록소코발라민아세트산염/우르소데옥시콜산,"무수인산수소칼슘,말토덱스트린,크로스포비돈,오파드라이200주황색(200F630035),코포비돈,오파드라이흰색(03B28796),경화식물유,스테아르산마그네슘,경질무수규산,오파드라이 fx 은색 (62W28547)",2016-11-01,제조,타원형,15.6,8.4,,Fursultiamine/Riboflavin Butyrate/Pyridoxal Phosphate Hydrate/Hydroxocobalamin Acetate/Ursodeoxycholic Acid
4202,동광제약(주),오디스겔(케토프로펜),케토프로펜,"폴리에틸렌글리콜400,파라옥시벤조산프로필,카르보머940,L-멘톨,파라옥시벤조산메틸,디에탄올아민,오렌지엣센스(O-8083),에탄올,정제수",1989-04-07,제조,,,,,Ketoprofen
4203,(주)마더스제약,오라드린에프정,글리시리진산이칼륨/아스코르브산97%과립/피리독신염산염/판토텐산칼슘/리보플라빈부티레이트/클로르페니라민말레산염,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,경질무수규산,전분글리콜산나트륨,탭쉴드검정색 (11K904),히드록시프로필셀룰로오스",2006-06-08,제조,원형,9.2,9.2,,Dipotassium Glycyrrhizinate/Ascorbic Acid Granules 97%/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin Butyrate/Chlorpheniramine Maleate
4204,동국제약(주),오라메디연고{수출명:오라메디파스타(ORAMEDYPASTE)},트리암시놀론아세토니드,"펙틴,폴리아크릴산나트륨,카르복시메틸셀룰로오스나트륨,플라스티베이스",1985-12-27,제조,,,,,Triamcinolone Acetonide
4205,동국제약(주),오라메칠액(폴리크레줄렌액50%),폴리크레줄렌액50%,정제수,2017-05-25,제조,,,,,Policresulen Solution 50%
4206,대원제약(주),오라민-에프연질캡슐,인삼가루/로얄젤리/레티놀팔미테이트/에르고칼시페롤/토코페롤아세테이트/티아민질산염/리보플라빈/피리독신염산염/아스코르브산/니코틴산아미드/판토텐산칼슘/시아노코발라민/푸마르산철/황산제이구리수화물/산화마그네슘/산화아연/무수인산수소칼슘/황산망간수화물/황산칼륨,"적색3호,콩기름,레시틴,파라옥시벤조산프로필,에틸바닐린,분획야자유,숙신산젤라틴,소르비톨액(비결정성),산화티탄,카르나우바납,황납,적색40호,파라옥시벤조산메틸,경화유,농글리세린,청색1호,정제수",2005-04-14,제조,,,,,Ginseng Powder/Royal Jelly/Retinol Palmitate/Ergocalciferol/Tocopherol Acetate/Thiamine Nitrate/Riboflavin/Pyridoxine Hydrochloride/Ascorbic Acid/Nicotinamide/Calcium Pantothenate/Cyanocobalamin/Ferrous Fumarate/Cupric Sulfate Hydrate/Magnesium Oxide/Zinc Oxide/Anhydrous Dibasic Calcium Phosphate/Manganese Sulfate Hydrate/Potassium Sulfate
4207,대원제약(주),오라민-이 연질캡슐,인삼가루/마늘엑스(100→1)/레티놀아세테이트/에르고칼시페롤/토코페롤아세테이트/티아민질산염/리보플라빈/피리독신염산염/아스코르브산/니코틴산아미드/판토텐산칼슘/시아노코발라민/푸마르산철/황산제이구리수화물/산화마그네슘/산화아연/무수인산수소칼슘/황산망간수화물/황산칼륨,"콩기름,레시틴,황색5호,에틸바닐린,분획야자유,젤라틴,소르비톨액(비결정성),산화티탄,카르나우바납,황납,적색40호,경화유,농글리세린,정제수,청색1호",2009-07-28,제조,,,,,Ginseng Powder/Allium Sativum Extract (100→1)/Retinol Acetate/Ergocalciferol/Tocopherol Acetate/Thiamine Nitrate/Riboflavin/Pyridoxine Hydrochloride/Ascorbic Acid/Nicotinamide/Calcium Pantothenate/Cyanocobalamin/Ferrous Fumarate/Cupric Sulfate Hydrate/Magnesium Oxide/Zinc Oxide/Anhydrous Dibasic Calcium Phosphate/Manganese Sulfate Hydrate/Potassium Sulfate
